LIC PLATE,CountryFull,INSEE,DRIVER LICENCE,ITIN,PASSPORT,FIN,DRIVER LICENSE,Firm Name,TropicalZodiac
02418252,Cyprus (Anglicized),03333189535 82,NL1459274473352,906-863087,kmEuUxBN98,W1080,3648826005,Silver Cross Hospital,Libra
56575148,Italy,44024224364 47,AP3927322667012,971-95-8752,Nsdz2uWwz4,E0039,8692622075,Complexo Hospitalario Universitario De A Coruña,Gemini
34151347,Hungary,4377480085686,CH8296530873786,961-921594,CIxVRNe2K6,B3013,9418934318,Fundacao Centro de Hematologia e Hematerapia de Minas Gerais,Gemini
49549,Uruguay,19319157256 22,AP64-88617490301,961-88-3915,TJt4bqpVQ0,W3970,7930400073,Parkview LaGrange Hospital,Gemini
DCM-26DD,South Africa,94964224108 17,LD6916764844312,915-998911,33CHEmV91 0,W1342,4326822459,WellStar Atlanta Medical Center,Pisces
9830719,Switzerland,96800594713 23,CT4465647476179,975946033,yKtzIYzRz 1,V0073,5407207195,"Blodtypeserologisk afd., Thisted Sygehus",Cancer
4626865,Czech Republic,2455821099611,HR5964611642324,917-71-5652,BpE7gsWlx1,W2048,2323345496,American National Red Cross (The),Capricorn
093770,Czech Republic,6431228337774,DL97-78096712827,956-80-4429,HBOGqphEE 6,E4028,4569124822,Damietta Regional Blood Transfusion Center,Taurus
18221261,Sweden,10052632974 34,TG83-34099569411,971-95-8752,kBiYjsduy9,I2314,8471379900,Italian National Transplant Centre,Taurus
1803,Canada,3782135653595,CT97-86244495061,958-715105,dA0c6iO87 0,W3237,7382333644,Oklahoma State University Medical Center,Aries
28816593,United States,59659889028 98,CH3400327914602,945-981530,1ygFyXqO0 9,W2521,7582502524,Einstein Medical Center Montgomery,Leo
BF-5488K,Australia,23822942448 47,DD8425388227935,970-79-8252,YBrsYk6Wi 2,W3889,7472958991,Saint Francis Hospital,Taurus
G80-QMK,Tunisia,75050515968 33,PB1304321418256,936-763342,4uNNc86QM8,Z4419,9727625920,Klinika Zdrowko S.C. Iwona Adamczak Rafal Adamczak,Aries
2221618,Estonia,5307985476521,UP1438018241871,943-785335,KTf4UPWmG 1,B3070,4785727348,Centro de Processamento Celular do Maranhao,Aries
7232,Hungary,5772256377274,OR66 77694513677,928-908192,E3KcZZmwm3,W4119,751370282,Lions Eye Bank of Texas at Baylor College of Medicine,Pisces
9054477,Estonia,32592957283 61,ML71 93789881864,962-84-1914,U8gMKLRFp 4,W3238,896370017,Abraham J. and Phyllis Katz Cord Blood Foundation,Aquarius
5029R3SO,Tunisia,30569162029 46,JK00 34210186335,917-82-8099,zbD6hXkzd 5,W1141,4256755093,Sutter Roseville Medical Center,Sagittarius
90368983,Belgium,7503532160472,AR3982506186425,925-72-9297,2DfWYwKZy 5,C0589,5491131762,Canadian Blood Services,Cancer
87687391,Greenland,9371274860731,RJ3691757754680,919-816789,BRg6PdCeX 3,W3978,4143694801,Huron Medical Center,Pisces
8204151,France,19193448143 48,MP2772824767308,963-79-7974,Q7AZBsKhH7,Z5245,3879749819,Oddzial Terenowy - Mielec,Cancer
4278,Belgium,2280697302298,JH10-20788770216,980-771785,MBHg4GgsJ 9,W1313,1889724538,Pascack Valley Hospital,Leo
40709,Australia,6978540334568,HR56 36389542135,963-79-7974,YWKJswMMl4,W0984,9511781789,St Anthony Hospital Central (Centura Health),Capricorn
9415,Brazil,2665479246748,PB80 34730326884,994-839882,HMl5EaaX68,B3091,6448891369,Hemovida Servicos De Hemoterapia LTDA,Cancer
